INSTRUMENT_ID,INSTRUMENT_TYPE,TRADE_CODE,
9418,Corporate bond,RU000A0JWKQ4,
9419,Corporate bond,RU000A0JWKP6,
9321,Corporate bond,RU000A0JV2B7,
8902,Corporate bond,RU000A0JVFN3,
8589,Corporate bond,RU000A0JV2K8,
8590,Corporate bond,RU000A0JV2L6,
9330,Corporate bond,RU000A0JWC25,
8944,Corporate bond,RU000A0JVNC0,
9153,Bond,RU000A0JWEK0,
9154,Bond,RU000A0JXTH2,
9015,Corporate bond,RU000A0JWJQ6,
9022,Corporate bond,RU000A0JVT43,
9074,Bond,RU000A0JVZA8,
11165,Bond,RU000A0ZZCX6,
11153,Bond,RU000A0ZZCV0,
5265,Bond,,
5266,Bond,,
5268,Bond,,
5269,Bond,,
5271,Bond,,
5272,Bond,,
8556,Corporate bond,RU000A0JV2E1,
11254,Bond,RU000A0ZZFP5,
11104,Bond,RU000A0ZZAR2,
11166,Bond,RU000A0ZZDQ8,
11459,Bond,RU000A0ZZUR0,
3595,Corporate bond,RU000A0JRPK6,
8826,Corporate bond,RU000A0JVE40,
9378,Corporate bond,RU000A0JWAT9,
2451,Corporate bond,RU000A0JQ5C5,
6195,Corporate bond,RU000A0JUZN3,
5250,Bond,,
9943,Bond,RU000A0JXQH8,
5252,Bond,,
5253,Bond,,
5255,Bond,RU000A0JVD17,
5256,Bond,RU000A0JWCK4,
9945,Bond,RU000A0JXQM8,
9983,Bond,RU000A0JXRL8,
10049,Bond,RU000A0JXSR3,
10477,Bond,RU000A0JXY10,
10478,Bond,RU000A0JXY28,
5018,Bond,RU000A0JXVY3,
5019,Bond,,
5020,Bond,,
9292,Bond,RU000A0JWB83,
9293,Bond,RU000A0JX8E6,
9294,Bond,,
3337,Unit closed UIF,RU000A0JR7Y4,
4914,Unit closed UIF,RU000A0JTQH6,
3333,Unit closed UIF,RU000A0JR7V0,
3338,Unit closed UIF,RU000A0JR7W8,
4959,Bond,RU000A0JTV50,
4960,Bond,,
4961,Bond,,
6160,Unit Interval UIF,RU000A0JUR61,
9550,Corporate bond,RU000A0JWTJ0,
10345,Bond,RU000A0ZY9T1,
10709,Bond,,
11044,Bond,RU000A0ZZ8A2,
11069,Bond,RU000A0ZZAT8,
5296,Corporate bond,RU000A0JU179,
6217,Bond,RU000A0JVYD5,
6218,Bond,RU000A0JW4F3,
6106,Corporate bond,RU000A0JURQ3,
6212,Bond,RU000A0JV0G0,
6107,Corporate bond,RU000A0JURP5,
9416,Corporate bond,RU000A0JWWX5,
4631,Unit closed UIF,RU000A0JT510,
6123,Bond,RU000A0JWWJ4,
6124,Bond,RU000A0JWWH8,
6125,Bond,,
6126,Bond,,
9300,Bond,,
4299,Unit closed UIF,RU000A0JS991,
8930,Unit closed UIF,RU000A0JVGP6,
6064,Corporate bond,RU000A0JUUB9,
9170,Bond,RU000A0JW2R2,
9171,Bond,RU000A0JWE72,
9172,Bond,RU000A0JWEP9,
9173,Bond,RU000A0JWES3,
9174,Bond,RU000A0JWG88,
5384,Bond,RU000A0JU6M6,
5385,Bond,RU000A0JWPF6,
5386,Bond,RU000A0JVUS1,
5387,Bond,RU000A0JVXS5,
5388,Bond,RU000A0JWVT5,
4946,Bond,,
4947,Bond,,
4948,Bond,,
4949,Bond,,
5433,Bond,RU000A0ZYA74,
9254,Bond,RU000A0ZYLB6,
9255,Bond,,
9256,Bond,RU000A0JWQX7,
9257,Bond,RU000A0JXN13,
9258,Bond,,
9259,Bond,,
9260,Bond,RU000A0JWLJ7,
9253,Bond,,
10565,Bond,,
11008,Bond,RU000A0ZZ695,
5660,Corporate bond,RU000A0JUDW1,
11070,Bond,RU000A0ZZ9X2,
11488,Bond,,
6038,Corporate bond,RU000A0JUT69,
9515,Bond,RU000A0JWPZ4,
9853,Bond,RU000A0JXLE6,
4937,Bond,,
4938,Bond,,
4944,Bond,RU000A0JW5J2,
4945,Bond,,
9403,Corporate bond,RU000A0JWKY8,
9404,Corporate bond,RU000A0JXMB0,
9405,Corporate bond,RU000A0JXPT5,
10334,Bond,RU000A0ZYZS0,
10335,Bond,RU000A0ZYB81,
10336,Bond,RU000A0ZYL30,
10613,Bond,,
10614,Bond,RU000A0ZYLR2,
10615,Bond,,
10605,Corporate bond,,
11015,Bond,RU000A0ZZNV7,
9701,Corporate bond,RU000A0JXFC2,
9181,Corporate bond,RU000A0JW8G2,
2965,Corporate bond,RU000A0JQXR7,
5357,Corporate bond,RU000A0JU336,
8979,Corporate bond,RU000A0JVQX9,
8980,Corporate bond,RU000A0JVQY7,
9276,Bond,,
9610,Bond,RU000A0JWWW7,
9277,Bond,,
11265,Bond,RU000A0ZZG93,
9278,Bond,,
9279,Bond,,
9280,Bond,,
9281,Bond,,
9282,Bond,,
9283,Bond,,
9284,Bond,,
9285,Bond,,
9286,Bond,,
9287,Bond,,
10434,Bond,RU000A0JXVE5,
3710,Corporate bond,RU000A0JRU20,
3711,Corporate bond,RU000A0JRU46,
10829,Bond,,
11331,Bond,,
8791,Corporate bond,RU000A0JVED7,
11147,Bond,RU000A0ZZEA0,
11320,Bond,RU000A0ZZMQ9,
9848,Corporate bond,RU000A0JXLU2,
11455,Corporate bond,,
10682,Corporate bond,RU000A0ZYMF5,
11490,Corporate bond,,
5993,Corporate bond,RU000A0JUQW3,
6128,Bond,RU000A0JV334,
8921,Unit closed UIF,RU000A0JVJA2,
8756,Unit closed UIF,RU000A0JUTH8,
3702,Unit closed UIF,RU000A0JRTR3,
5526,Unit closed UIF,RU000A0JU971,
9121,Unit Interval UIF,RU000A0JVUA9,
8827,Corporate bond,RU000A0JVE57,
10922,Corporate bond,RU000A0ZZ4Z8,
11143,Corporate bond,RU000A0ZZC22,
5793,Bond,RU000A0JULR4,
11461,Bond,RU000A0ZZTK7,
8809,Corporate bond,RU000A0JVC42,
2868,Unit closed UIF,RU000A0JQUE1,
10402,Bond,RU000A0JXY85,
10927,Bond,RU000A0ZZ141,
10928,Bond,RU000A0ZZ158,
5969,Mortgage participation certificate,RU000A0JUP71,
5016,Unit closed UIF,RU000A0JTVY1,
11325,Share Exchange Funds,AKNX,
11392,Unit Interval UIF,RU000A0ZZCD8,
11261,Unit closed UIF,RU000A0JVKZ7,
3400,Unit closed UIF,RU000A0JRBT7,
8919,Mortgage participation certificate,RU000A0JVEZ0,
8914,Unit closed UIF,RU000A0JUZ61,
2910,Unit Interval UIF,RU000A0JNK00,
2911,Unit Interval UIF,RU000A0JNK34,
876,Unit Interval UIF,RU000A0JP4U1,
1156,Unit closed UIF,RU000A0JPNS8,
5137,Mortgage participation certificate,RU000A0JTXM2,
1529,Unit closed UIF,RU000A0JPY69,
738,Unit closed UIF,RU000A0JNUM1,
9421,Unit closed UIF,RU000A0JWJA0,
1516,Unit closed UIF,RU000A0JPWL4,
2857,Unit closed UIF,RU000A0JQT81,
1121,Open unit mutual fund,RU000A0JPKJ3,
